0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Class,Pass_No,iter_No
2.423018555,2.438148926,2.443732178,2.44204834,2.437327148,2.435941406,2.44187915,2.422043701,2.439228516,2.441645508,2.442926514,2.429310791,2.438986816,2.440912354,2.442741211,2.412230713,3_Bumps,1,1
2.422905762,2.43802002,2.443732178,2.442056396,2.437375488,2.435941406,2.44187915,2.422011475,2.439228516,2.441677734,2.442926514,2.429439697,2.43905127,2.440928467,2.442741211,2.412536865,3_Bumps,1,1
2.422841309,2.437979736,2.443732178,2.442080566,2.437359375,2.43590918,2.44187915,2.422043701,2.439244629,2.441709961,2.442894287,2.42960083,2.439091553,2.440928467,2.442741211,2.412843018,3_Bumps,1,1
2.422059814,2.437101563,2.443764404,2.441846924,2.437472168,2.435699707,2.44187915,2.421818115,2.439309082,2.442064453,2.442862061,2.431623047,2.439510498,2.44094458,2.442741211,2.416839111,3_Bumps,1,1
2.422019531,2.436996826,2.443780518,2.441822754,2.437504395,2.435675537,2.44187915,2.421745605,2.439309082,2.44209668,2.442862061,2.431816406,2.439518555,2.44094458,2.442741211,2.417096924,3_Bumps,1,1
2.421938965,2.436932373,2.443780518,2.441782471,2.437512451,2.435675537,2.44187915,2.421713379,2.439309082,2.442128906,2.442862061,2.431977539,2.439510498,2.440952637,2.442741211,2.417354736,3_Bumps,1,1
2.421842285,2.436884033,2.443780518,2.441726074,2.437576904,2.435643311,2.441911377,2.421681152,2.439309082,2.442153076,2.442862061,2.432130615,2.439518555,2.440952637,2.442741211,2.417531982,3_Bumps,1,1
2.421761719,2.436811523,2.443780518,2.441629395,2.437649414,2.435627197,2.441911377,2.421665039,2.439309082,2.442185303,2.442862061,2.432340088,2.439510498,2.440952637,2.442741211,2.417725342,3_Bumps,1,1
2.421721436,2.436730957,2.443780518,2.441597168,2.437649414,2.435611084,2.441911377,2.421600586,2.439309082,2.442217529,2.442862061,2.432565674,2.439494385,2.44094458,2.442741211,2.417934814,3_Bumps,1,1
2.421616699,2.436618164,2.443796631,2.441556885,2.437641357,2.435578857,2.441911377,2.421568359,2.439325195,2.442249756,2.442862061,2.43279126,2.439510498,2.440936523,2.442741211,2.418047607,3_Bumps,1,1
